date,情绪分,标签,有效因子数,f_指数多头,f_科技共振,f_量能,f_宽度,f_涨跌停,fwd1,fwd5,fwd20
2026-01-09,91.33,牛市共振,4,1.0,,0.6775,1.0,0.9758,0.006512693284052684,-0.0056839131701692525,-0.024233680984187433
2026-01-12,93.71,牛市共振,4,1.0,,0.7959,1.0,0.9526,-0.006029981113445548,-0.011578471478254637,-0.014793496879015877
2026-01-13,80.58,牛市共振,4,1.0,,0.7577,1.0,0.4654,-0.004012113003053819,-0.008854004018120087,-0.007716141566270318
2026-01-14,90.95,牛市共振,4,1.0,,0.8225,1.0,0.8156,0.0020031292739712825,-0.003977578246294855,-0.005928408146673281
2026-01-15,77.09,分化,4,1.0,,0.605,1.0,0.4786,-0.0041159193929286575,-0.005834076074750727,-0.006703519717740414
2026-01-16,69.56,分化,4,0.5,,0.7619,1.0,0.5205,0.0005458303951026977,-0.006208155045925978,-0.015103364570577593
2026-01-19,71.73,分化,4,0.5,,0.6078,1.0,0.7613,-0.003290219893497426,-0.00580670774481451,-0.005684201579586157
2026-01-20,72.54,分化,4,0.5,,0.6575,1.0,0.7442,0.0008881348113625176,-0.002794392955512315,0.003604161684020557
2026-01-21,75.95,分化,4,0.5,,0.6459,1.0,0.8919,0.00013548393489548616,-0.001075105992518588,0.0008055566918223622
2026-01-22,77.43,分化,4,0.5,,0.6721,1.0,0.9252,-0.004490644862106263,0.006384940173390419,-0.0027652422542278066
2026-01-23,80.33,牛市共振,4,0.5,,0.7276,1.0,0.9855,0.0009500060031939483,0.0008173317977517858,0.005565596793839278
2026-01-26,70.78,分化,4,0.5,,0.7473,1.0,0.5839,-0.0002702803760555872,-0.021454190004427387,-0.010849413762246685
2026-01-27,62.6,分化,4,0.0,,0.661,1.0,0.8429,0.0026137708381157587,-0.009687077253975662,-0.021902645642878582
2026-01-28,61.6,分化,4,0.0,,0.7902,1.0,0.6739,0.00760457087734423,-0.004092461889608212,-0.014900260309927638
2026-01-29,60.5,分化,4,0.0,,0.8214,1.0,0.5987,-0.009998086401063921,-0.017554309492327835,-0.01965360977394892
2026-01-30,52.23,震荡,4,0.0,,0.6541,1.0,0.4351,-0.021324468242318484,-0.01333184569470447,-0.019311184076985843
2026-02-02,45.52,震荡,4,0.0,,0.6679,1.0,0.153,0.011751571039204878,0.02454982489176727,0.01493195834397798
2026-02-03,61.68,分化,4,0.0,,0.6194,1.0,0.8478,0.008277877887535423,0.01377397439380923,0.009525209655039335
2026-02-04,61.66,分化,4,0.0,,0.6065,1.0,0.86,-0.006015387460044153,0.0032211790741711877,-0.002367280262691618
2026-02-05,52.93,震荡,4,0.0,,0.5329,1.0,0.5842,-0.005743146631732476,0.010525651361287025,-0.0002738084216344916
2026-02-06,58.43,震荡,4,0.0,,0.5143,1.0,0.8228,0.01625033737324122,0.003619974769983658,0.006021884893127716
2026-02-09,62.6,分化,4,0.0,,0.5484,1.0,0.9558,0.001110328021331597,-0.0024394498060513747,-0.017295133121860373
2026-02-10,68.77,分化,4,0.5,,0.4666,1.0,0.7841,-0.0022177062756191246,0.0024533181200598886,-0.013962547136127545
2026-02-11,66.15,分化,4,0.5,,0.4758,1.0,0.6703,0.0012218332122886366,0.002769601757046658,-0.027698860276440418
2026-02-12,68.92,分化,4,0.5,,0.5469,1.0,0.71,-0.012537646374315758,-0.001892351392433933,-0.032324945153994866
2026-02-13,62.16,分化,4,0.5,,0.4807,1.0,0.5057,0.010114656114909693,0.014647480468223728,-0.052014464148785744
2026-02-24,72.86,分化,4,0.5,,0.5762,1.0,0.838,0.006020506659098812,-0.01097128353978205,-0.04945712668856628
2026-02-25,77.25,分化,4,0.5,,0.6171,1.0,0.973,-0.0019028963916318808,-0.02813857969294775,-0.041897167368351584
2026-02-26,87.58,牛市共振,4,1.0,,0.5931,1.0,0.9101,-0.0034329242419604,-0.01675140942515929,-0.052749365706582396
2026-02-27,89.04,牛市共振,4,1.0,,0.5713,1.0,0.9902,0.003825780276590196,-0.010658387492384458,-0.04417166143359197
2026-03-02,84.17,牛市共振,4,1.0,,0.752,1.0,0.6149,-0.015389658924727434,-0.02394198130349079,-0.050060346793583954
2026-03-03,74.73,分化,4,1.0,,0.737,1.0,0.2523,-0.01144172844746838,0.00405077759250716,-0.044212089608011595
2026-03-04,66.87,分化,4,0.5,,0.5499,1.0,0.625,0.00979167386817359,0.022133284080277038,-0.016633530863379042
2026-03-05,62.55,分化,4,0.0,,0.5602,1.0,0.9419,0.0027426300464266085,0.008578020906333084,-0.03631436772672614
2026-03-06,61.57,分化,4,0.0,,0.4899,1.0,0.9727,-0.009652288121355102,0.0018669915001570114,-0.04713077459011927
2026-03-09,62.78,分化,4,0.0,,0.7082,1.0,0.803,0.012848375450559502,0.012155681029157872,-0.037881183157864484
2026-03-10,60.58,分化,4,0.0,,0.532,1.0,0.8913,0.0063617649194198655,-0.00798266228300848,-0.016942102777466772
2026-03-11,63.55,分化,4,0.0,,0.5867,1.0,0.9552,-0.0035999181123742563,-0.009812634760718919,-0.029391501861017688
2026-03-12,60.34,分化,4,0.0,,0.5714,1.0,0.8421,-0.003929570950994221,-0.022252301362493343,-0.010878708520451807
2026-03-13,68.56,分化,4,0.5,,0.5822,1.0,0.6604,0.000518103976321127,-0.021871715133836345,-0.004922833755252709
2026-03-16,73.48,分化,4,0.5,,0.5978,1.0,0.8415,-0.007303750047816027,-0.054277810592185505,0.006362886429072345
2026-03-17,63.06,分化,4,0.5,,0.5713,1.0,0.4513,0.004505331304397675,-0.03508764060992975,0.010308965344494547
2026-03-18,72.56,分化,4,0.5,,0.5238,1.0,0.8788,-0.01611763471408778,-0.0259463665581271,0.01680328780316298
2026-03-19,53.34,震荡,4,0.0,,0.5671,1.0,0.5667,-0.0035418526381852944,-0.023065897480502473,0.03172867836108728
2026-03-20,45.81,震荡,4,0.0,,0.627,1.0,0.2054,-0.032629782335646285,-0.014111637267723354,0.04169547923164485
2026-03-23,45.08,震荡,4,0.0,,0.6573,1.0,0.1458,0.01283959647687416,0.016739010534887022,0.07922139650114324
2026-03-24,62.05,分化,4,0.0,,0.5044,1.0,0.9777,0.014021696630834857,-0.005513883945068909,0.07260888407289823
2026-03-25,63.14,分化,4,0.0,,0.5674,1.0,0.9583,-0.013208100134136647,-0.0025121512766952403,0.05484596952095888
2026-03-26,52.78,震荡,4,0.0,,0.4791,1.0,0.6322,0.005591358618961317,0.0003081606767367795,0.06517750182282245
2026-03-27,60.22,分化,4,0.0,,0.4749,1.0,0.934,-0.002358608632785697,-0.013721253138596734,0.05960531694589166
