date,fwd_ret,direction,技术,技术_avail,广度,广度_avail,消息面,消息面_avail,资金流,资金流_avail
2026-03-10,0.0063617649194198655,1,0.47850013848512896,1,0.2656907410965704,1,0.0,0,-1.250425873682957,1
2026-03-11,-0.0035999181123742563,-1,0.25929961028397874,1,-0.23022924273015688,1,0.0,0,-0.7369805177354002,1
2026-03-12,-0.003929570950994221,-1,0.4331448546590996,1,-0.49306862889943404,1,0.0,0,-0.6652703935007508,1
2026-03-13,0.000518103976321127,1,0.38692666600659703,1,-0.5779502882659541,1,0.0,0,-0.6170659170642366,1
2026-03-16,-0.007303750047816027,-1,0.3234045806261136,1,-0.16034464299596712,1,0.0,0,-0.2363877692272296,1
2026-03-17,0.004505331304397675,1,0.7207142713171928,1,-0.6314213489101939,1,0.0,0,-0.29266821902544254,1
2026-03-18,-0.01611763471408778,-1,0.47687722796509713,1,-0.07026304123066152,1,0.0,0,-0.07484641518522546,1
2026-03-19,-0.0035418526381852944,-1,1.2459657856460788,1,-0.7363159320264535,1,0.0,0,-0.004491190364057318,1
2026-03-20,-0.032629782335646285,-1,1.1711814630701887,1,-0.7627238988938908,1,0.0,0,-0.04831266038342722,1
2026-03-23,0.01283959647687416,1,2.0258479804739222,1,-1.194980505608828,1,0.0,0,-0.21207432309670216,1
2026-03-24,0.014021696630834857,1,1.3749021808937119,1,-0.061945782106934306,1,0.0,0,-0.4042628466737436,1
2026-03-25,-0.013208100134136647,-1,0.6166175523423867,1,-0.13402163217897475,1,0.0,0,-1.0783087691667061,1
2026-03-26,0.005591358618961317,1,1.1930477767755334,1,-1.0016661060049332,1,0.0,0,-1.1532767479063186,1
2026-03-27,-0.002358608632785697,-1,0.8060855614498955,1,-0.15793181829849381,1,0.0,0,-1.2466467349007466,1
2026-03-30,-0.009327953338750472,-1,0.6785297716606705,1,-0.3916100745134093,1,0.0,0,-1.2429122691743149,1
2026-03-31,0.0170823950197585,1,0.8462027427822167,1,-1.1823165585184454,1,0.0,0,-1.0588746360092969,1
2026-04-01,-0.010418030065309614,-1,0.10364210670015965,1,0.012597044833613616,1,0.0,0,-0.925513060485201,1
2026-04-02,-0.008512152532686557,-1,0.5370762055458889,1,-0.8251167066204513,1,0.0,0,-0.8030109159553404,1
2026-04-03,-3.88894865052114e-05,-1,0.7639450137846522,1,-1.4681526571321633,1,0.0,0,-1.1327024601059477,1
2026-04-07,0.03489150897571358,1,0.494496058042165,1,-0.2625886742912949,1,0.0,0,-1.2315674805322114,1
2026-04-08,-0.006382753251184425,-1,-0.9707548378976316,1,0.42990181576512027,1,0.0,0,-1.3000895507523955,1
2026-04-09,0.015404808135002224,1,-0.006386734218684143,1,-0.5481450105354144,1,0.0,0,-0.28472894231060936,1
2026-04-10,0.002068147209394633,1,-0.8863909647279614,1,0.2765039050774945,1,0.0,0,-0.5037481493956321,1
2026-04-13,0.011865532843009508,1,-0.7374320243357967,1,-0.0744289716051988,1,0.0,0,-0.052608390401366854,1
2026-04-14,-0.003411259779961817,-1,-1.0028464651878757,1,0.45394986860826053,1,0.0,0,0.15944203520643388,1
2026-04-15,0.010962347679302376,1,-0.5662340383373745,1,-0.10001497555671003,1,0.0,0,0.4863985847940082,1
2026-04-16,-0.0016754818010366046,-1,-0.8823020713106737,1,0.7473696511559683,1,0.0,0,0.5183014987235125,1
2026-04-17,0.006084224584341991,1,-0.639368706654232,1,0.23784057685588086,1,0.0,0,0.5470478975362171,1
2026-04-20,0.0022186503212999753,1,-1.0050810978725222,1,0.5483303245619259,1,0.0,0,0.532328378248179,1
2026-04-21,0.006633812898791724,1,-0.954567308492636,1,0.10379534111642362,1,0.0,0,0.7803483477565059,1
2026-04-22,-0.002770986162049738,-1,-0.9304177815321719,1,0.30917828820342586,1,0.0,0,0.6977601782668281,1
2026-04-23,-0.003543113317804214,-1,-0.6962400118549414,1,-0.3090140092937393,1,0.0,0,0.8474639394289644,1
2026-04-24,0.0003308823591079424,1,-0.4141593004195889,1,-0.28186393646320473,1,0.0,0,0.7963016235925973,1
2026-04-27,-0.002670036004802201,-1,-0.35515893573154683,1,0.10178184962916347,1,0.0,0,0.7142444304431658,1
2026-04-28,0.010957590906644388,1,-0.17413294491902695,1,-0.5145206993049188,1,0.0,0,0.7163911385014193,1
2026-04-29,-0.000631950278512261,-1,-0.6085192861217006,1,0.27218558624885353,1,0.0,0,0.604808745777995,1
2026-04-30,0.014516714129485075,1,-0.33382634459646876,1,-0.04273468370952298,1,0.0,0,0.6023528692676724,1
2026-05-06,0.0048013435543941,1,-0.9519341628574367,1,0.27052805480780934,1,0.0,0,0.39574349078319465,1
2026-05-07,-0.005835637753443534,-1,-0.8340304446369847,1,0.21255630370517165,1,0.0,0,1.013724552885242,1
2026-05-08,0.016405139649273703,1,-0.4718299563619273,1,0.4537187630222025,1,0.0,0,1.2177052537806377,1
2026-05-11,-0.0007653927837600882,-1,-0.991034978841026,1,0.3766281604735594,1,0.0,0,1.3386212726768445,1
