date,指数多头,量能,宽度,涨跌停,fwd1,fwd5
2024-07-24,0.0,0.8,0.1738,0.5,0.004946718060798716,0.06350620325549627
2024-07-25,0.0,0.8,0.1947,0.873,0.016614024235200642,0.0593655703421585
2024-07-26,0.0,0.8,0.3076,0.9231,0.0012004658323401252,0.02882037546484928
2024-07-29,0.0,0.8,0.3478,0.9747,0.005522800953515983,0.0022909209672592468
2024-07-30,0.0,0.8,0.4368,0.9494,0.034017594637537174,0.015840592782239815
2024-07-31,0.5,0.8,0.7942,0.9886,0.001034079428117618,-0.017382992583287682
2024-08-01,0.5,0.8,0.77,0.9342,-0.012698494837172336,-0.02055711525098225
2024-08-02,0.5,0.8,0.6593,0.7013,-0.0246167738284353,-0.015059729819114409
2024-08-05,0.5,0.8,0.4097,0.2512,0.01911616358943813,0.002694602423975123
2024-08-06,1.0,0.8,0.5719,0.7549,0.00019952114353771755,-0.009150065907245652
2024-08-07,1.0,0.8,0.5753,0.7722,-0.0021995354377606358,-0.014414351708085138
2024-08-08,1.0,0.8,0.556,0.7176,-0.007157000794123403,-0.0038145967709816153
2024-08-09,0.5,0.8,0.4942,0.5507,-0.00703471490966856,-0.0005740405786149871
2024-08-12,0.5,0.8,0.4167,0.4691,0.007077510025809142,0.002557563992186207
2024-08-13,0.5,0.8,0.4803,0.8305,-0.005114438070662919,-0.02149952972418745
2024-08-14,0.5,0.8,0.41,0.8163,0.00853158713775315,-0.01856050513088947
2024-08-15,0.5,0.8,0.5032,0.931,-0.003927317324865953,-0.04134698957432925
2024-08-16,0.5,0.8,0.4228,0.7213,-0.0039233542369517815,-0.04201514453777089
2024-08-19,0.5,0.8,0.4025,0.7246,-0.017088043064100167,-0.027591587247010385
2024-08-20,0.5,0.8,0.2315,0.5738,-0.0021261992063491553,-0.02399088144283701
2024-08-21,0.0,0.8,0.2064,0.8475,-0.01488390555555541,-0.016857780355311602
2024-08-22,0.0,0.8,0.1462,0.5362,-0.004621552777777649,0.01254653481338086
